"X","variable","value"
5,"99",3
6,"99",0
7,"99",0
8,"99",0
9,"99",1
10,"99",0
11,"99",0
12,"99",0
13,"99",0
14,"99",0
15,"99",0
16,"99",0
17,"99",0
18,"99",0
19,"99",0
20,"99",0
21,"99",0
22,"99",0
23,"99",0
1,"100",335
2,"100",39
3,"100",7
4,"100",5
5,"100",3
6,"100",1
7,"100",1
8,"100",0
9,"100",1
10,"100",0
11,"100",0
12,"100",1
13,"100",0
14,"100",0
15,"100",0
16,"100",0
17,"100",0
18,"100",0
19,"100",0
20,"100",0
21,"100",0
22,"100",0
23,"100",0
1,"1",313
2,"1",31
3,"1",9
4,"1",2
5,"1",3
6,"1",1
7,"1",0
8,"1",0
9,"1",1
10,"1",0
11,"1",0
12,"1",0
13,"1",0
14,"1",0
15,"1",0
16,"1",0
17,"1",0
18,"1",0
19,"1",0
20,"1",0
21,"1",0
22,"1",0
23,"1",0
1,"2",318
2,"2",25
3,"2",14
4,"2",1
5,"2",4
6,"2",1
7,"2",0
8,"2",0
9,"2",0
10,"2",0
11,"2",0
12,"2",0
13,"2",0
14,"2",0
15,"2",0
16,"2",0
17,"2",0
18,"2",0
19,"2",0
20,"2",0
21,"2",0
22,"2",0
23,"2",0
1,"3",319
2,"3",34
3,"3",6
4,"3",4
5,"3",1
6,"3",1
7,"3",0
8,"3",1
9,"3",0
10,"3",0
11,"3",0
12,"3",0
13,"3",0
14,"3",0
15,"3",0
16,"3",0
17,"3",0
18,"3",0
19,"3",0
20,"3",0
21,"3",0
22,"3",0
23,"3",0
1,"4",301
2,"4",33
3,"4",10
4,"4",3
5,"4",1
6,"4",1
7,"4",0
8,"4",0
9,"4",0
10,"4",2
11,"4",0
12,"4",0
13,"4",0
14,"4",0
15,"4",0
16,"4",0
17,"4",0
18,"4",0
19,"4",0
20,"4",0
21,"4",0
22,"4",0
23,"4",0
1,"5",325
2,"5",32
3,"5",5
4,"5",3
5,"5",0
6,"5",1
7,"5",1
8,"5",0
9,"5",0
10,"5",0
11,"5",1
12,"5",0
13,"5",0
14,"5",0
15,"5",0
16,"5",0
17,"5",0
18,"5",0
19,"5",0
20,"5",0
21,"5",0
22,"5",0
23,"5",0
1,"6",331
2,"6",32
3,"6",8
4,"6",0
5,"6",1
6,"6",0
7,"6",1
8,"6",0
9,"6",1
10,"6",0
11,"6",0
12,"6",0
13,"6",0
14,"6",0
15,"6",0
16,"6",0
17,"6",0
18,"6",0
19,"6",0
20,"6",0
21,"6",0
22,"6",0
23,"6",0
1,"7",317
2,"7",25
3,"7",4
4,"7",3
5,"7",1
6,"7",2
7,"7",0
8,"7",0
9,"7",1
10,"7",1
11,"7",0
12,"7",0
13,"7",1
14,"7",0
15,"7",0
16,"7",0
17,"7",0
18,"7",0
19,"7",0
20,"7",0
21,"7",0
22,"7",0
23,"7",0
1,"8",305
2,"8",23
3,"8",8
4,"8",5
5,"8",5
6,"8",2
7,"8",0
8,"8",1
9,"8",0
10,"8",0
11,"8",0
12,"8",0
13,"8",0
14,"8",0
15,"8",0
16,"8",0
17,"8",0
18,"8",0
19,"8",0
20,"8",0
21,"8",0
22,"8",0
23,"8",0
1,"9",309
2,"9",34
3,"9",2
4,"9",4
5,"9",5
6,"9",0
7,"9",1
8,"9",0
9,"9",1
10,"9",0
11,"9",0
12,"9",0
13,"9",0
14,"9",0
15,"9",0
16,"9",0
17,"9",0
18,"9",0
19,"9",0
20,"9",0
21,"9",0
22,"9",0
23,"9",0
1,"10",310
2,"10",30
3,"10",11
4,"10",5
5,"10",0
6,"10",0
7,"10",1
8,"10",0
9,"10",0
10,"10",1
11,"10",0
12,"10",0
13,"10",0
14,"10",0
15,"10",0
16,"10",0
17,"10",0
18,"10",0
19,"10",0
20,"10",0
21,"10",0
22,"10",0
23,"10",0
1,"11",302
2,"11",29
3,"11",8
4,"11",4
5,"11",4
6,"11",2
7,"11",0
8,"11",1
9,"11",0
10,"11",0
11,"11",0
12,"11",0
13,"11",0
14,"11",0
15,"11",0
16,"11",0
17,"11",0
18,"11",0
19,"11",0
20,"11",0
21,"11",0
22,"11",0
23,"11",0
1,"12",315
2,"12",31
3,"12",4
4,"12",3
5,"12",4
6,"12",2
7,"12",1
8,"12",0
9,"12",0
10,"12",0
11,"12",0
12,"12",0
13,"12",0
14,"12",0
15,"12",0
16,"12",0
17,"12",0
18,"12",0
19,"12",0
20,"12",0
21,"12",0
22,"12",0
23,"12",0
1,"13",326
2,"13",26
3,"13",9
4,"13",2
5,"13",2
6,"13",0
7,"13",0
8,"13",1
9,"13",1
10,"13",0
11,"13",0
12,"13",0
13,"13",0
14,"13",0
15,"13",0
16,"13",0
17,"13",0
18,"13",0
19,"13",0
20,"13",0
21,"13",0
22,"13",0
23,"13",0
1,"14",322
2,"14",21
3,"14",14
4,"14",1
5,"14",1
6,"14",0
7,"14",1
8,"14",0
9,"14",2
10,"14",0
11,"14",0
12,"14",0
13,"14",0
14,"14",0
15,"14",0
16,"14",0
17,"14",0
18,"14",0
19,"14",0
20,"14",0
21,"14",0
22,"14",0
23,"14",0
1,"15",317
2,"15",27
3,"15",13
4,"15",4
5,"15",1
6,"15",0
7,"15",0
8,"15",0
9,"15",1
10,"15",0
11,"15",0
12,"15",0
13,"15",0
14,"15",0
15,"15",0
16,"15",0
17,"15",0
18,"15",0
19,"15",0
20,"15",0
21,"15",0
22,"15",0
23,"15",0
1,"16",309
2,"16",31
3,"16",6
4,"16",2
5,"16",3
6,"16",0
7,"16",0
8,"16",0
9,"16",2
10,"16",1
11,"16",0
12,"16",0
13,"16",0
14,"16",0
15,"16",0
16,"16",0
17,"16",0
18,"16",0
19,"16",0
20,"16",0
21,"16",0
22,"16",0
23,"16",0
1,"17",316
2,"17",31
3,"17",9
4,"17",2
5,"17",1
6,"17",1
7,"17",1
8,"17",0
9,"17",1
10,"17",0
11,"17",0
12,"17",0
13,"17",0
14,"17",0
15,"17",0
16,"17",0
17,"17",0
18,"17",0
19,"17",0
20,"17",0
21,"17",0
22,"17",0
23,"17",0
1,"18",299
2,"18",35
3,"18",8
4,"18",6
5,"18",1
6,"18",3
7,"18",0
8,"18",0
9,"18",0
10,"18",0
11,"18",0
12,"18",0
13,"18",0
14,"18",0
15,"18",0
16,"18",0
17,"18",0
18,"18",0
19,"18",0
20,"18",0
21,"18",0
22,"18",0
23,"18",0
1,"19",312
2,"19",30
3,"19",10
4,"19",5
5,"19",1
6,"19",1
7,"19",1
8,"19",0
9,"19",0
10,"19",0
11,"19",0
12,"19",0
13,"19",0
14,"19",0
15,"19",0
16,"19",0
17,"19",0
18,"19",0
19,"19",0
20,"19",0
21,"19",0
22,"19",0
23,"19",0
1,"20",316
2,"20",39
3,"20",7
4,"20",3
5,"20",1
6,"20",0
7,"20",0
8,"20",1
9,"20",0
10,"20",0
11,"20",0
12,"20",0
13,"20",0
14,"20",0
15,"20",0
16,"20",0
17,"20",0
18,"20",0
19,"20",0
20,"20",0
21,"20",0
22,"20",0
23,"20",0
1,"21",320
2,"21",31
3,"21",5
4,"21",5
5,"21",1
6,"21",0
7,"21",0
8,"21",1
9,"21",0
10,"21",1
11,"21",0
12,"21",0
13,"21",0
14,"21",0
15,"21",0
16,"21",0
17,"21",0
18,"21",0
19,"21",0
20,"21",0
21,"21",0
22,"21",0
23,"21",0
1,"22",314
2,"22",35
3,"22",7
4,"22",3
5,"22",2
6,"22",0
7,"22",0
8,"22",0
9,"22",0
10,"22",0
11,"22",0
12,"22",0
13,"22",1
14,"22",0
15,"22",0
16,"22",0
17,"22",0
18,"22",0
19,"22",0
20,"22",0
21,"22",0
22,"22",0
23,"22",0
1,"23",308
2,"23",33
3,"23",10
4,"23",6
5,"23",1
6,"23",0
7,"23",1
8,"23",0
9,"23",0
10,"23",0
11,"23",0
12,"23",0
13,"23",0
14,"23",0
15,"23",0
16,"23",0
17,"23",0
18,"23",0
19,"23",0
20,"23",0
21,"23",0
22,"23",0
23,"23",0
1,"24",322
2,"24",26
3,"24",10
4,"24",2
5,"24",3
6,"24",1
7,"24",1
8,"24",0
9,"24",0
10,"24",0
11,"24",0
12,"24",0
13,"24",0
14,"24",0
15,"24",0
16,"24",0
17,"24",0
18,"24",0
19,"24",0
20,"24",0
21,"24",0
22,"24",0
23,"24",0
1,"25",308
2,"25",31
3,"25",11
4,"25",4
5,"25",0
6,"25",2
7,"25",0
8,"25",0
9,"25",1
10,"25",0
11,"25",0
12,"25",0
13,"25",0
14,"25",0
15,"25",0
16,"25",0
17,"25",0
18,"25",0
19,"25",0
20,"25",0
21,"25",0
22,"25",0
23,"25",0
1,"26",330
2,"26",21
3,"26",6
4,"26",3
5,"26",3
6,"26",0
7,"26",2
8,"26",0
9,"26",1
10,"26",0
11,"26",0
12,"26",0
13,"26",0
14,"26",0
15,"26",0
16,"26",0
17,"26",0
18,"26",0
19,"26",0
20,"26",0
21,"26",0
22,"26",0
23,"26",0
1,"27",335
2,"27",31
3,"27",4
4,"27",2
5,"27",2
6,"27",1
7,"27",1
8,"27",0
9,"27",0
10,"27",0
11,"27",0
12,"27",0
13,"27",0
14,"27",0
15,"27",0
16,"27",0
17,"27",0
18,"27",0
19,"27",0
20,"27",0
21,"27",0
22,"27",0
23,"27",0
1,"28",321
2,"28",27
3,"28",9
4,"28",4
5,"28",2
6,"28",2
7,"28",0
8,"28",0
9,"28",0
10,"28",0
11,"28",0
12,"28",0
13,"28",0
14,"28",0
15,"28",0
16,"28",0
17,"28",0
18,"28",0
19,"28",0
20,"28",0
21,"28",0
22,"28",0
23,"28",0
1,"29",304
2,"29",34
3,"29",8
4,"29",3
5,"29",3
6,"29",0
7,"29",1
8,"29",0
9,"29",0
10,"29",1
11,"29",0
12,"29",0
13,"29",0
14,"29",0
15,"29",0
16,"29",0
17,"29",0
18,"29",0
19,"29",0
20,"29",0
21,"29",0
22,"29",0
23,"29",0
1,"30",303
2,"30",31
3,"30",6
4,"30",5
5,"30",0
6,"30",0
7,"30",1
8,"30",1
9,"30",0
10,"30",0
11,"30",2
12,"30",0
13,"30",0
14,"30",0
15,"30",0
16,"30",0
17,"30",0
18,"30",0
19,"30",0
20,"30",0
21,"30",0
22,"30",0
23,"30",0
1,"31",321
2,"31",24
3,"31",11
4,"31",4
5,"31",2
6,"31",2
7,"31",0
8,"31",0
9,"31",0
10,"31",0
11,"31",0
12,"31",0
13,"31",0
14,"31",0
15,"31",0
16,"31",0
17,"31",0
18,"31",0
19,"31",0
20,"31",0
21,"31",0
22,"31",0
23,"31",0
1,"32",327
2,"32",25
3,"32",6
4,"32",2
5,"32",3
6,"32",0
7,"32",2
8,"32",1
9,"32",0
10,"32",0
11,"32",0
12,"32",0
13,"32",0
14,"32",0
15,"32",0
16,"32",0
17,"32",0
18,"32",0
19,"32",0
20,"32",0
21,"32",0
22,"32",0
23,"32",0
1,"33",318
2,"33",27
3,"33",6
4,"33",6
5,"33",1
6,"33",1
7,"33",1
8,"33",1
9,"33",0
10,"33",0
11,"33",0
12,"33",0
13,"33",0
14,"33",0
15,"33",0
16,"33",0
17,"33",0
18,"33",0
19,"33",0
20,"33",0
21,"33",0
22,"33",0
23,"33",0
1,"34",315
2,"34",34
3,"34",9
4,"34",2
5,"34",1
6,"34",0
7,"34",0
8,"34",1
9,"34",1
10,"34",0
11,"34",0
12,"34",0
13,"34",0
14,"34",0
15,"34",0
16,"34",0
17,"34",0
18,"34",0
19,"34",0
20,"34",0
21,"34",0
22,"34",0
23,"34",0
1,"35",310
2,"35",29
3,"35",9
4,"35",3
5,"35",4
6,"35",1
7,"35",1
8,"35",0
9,"35",0
10,"35",0
11,"35",0
12,"35",0
13,"35",0
14,"35",0
15,"35",0
16,"35",0
17,"35",0
18,"35",0
19,"35",0
20,"35",0
21,"35",0
22,"35",0
23,"35",0
1,"36",297
2,"36",36
3,"36",10
4,"36",2
5,"36",1
6,"36",2
7,"36",1
8,"36",0
9,"36",1
10,"36",0
11,"36",0
12,"36",0
13,"36",0
14,"36",0
15,"36",0
16,"36",0
17,"36",0
18,"36",0
19,"36",0
20,"36",0
21,"36",0
22,"36",0
23,"36",0
1,"37",294
2,"37",37
3,"37",8
4,"37",1
5,"37",2
6,"37",2
7,"37",2
8,"37",1
9,"37",0
10,"37",0
11,"37",0
12,"37",0
13,"37",0
14,"37",0
15,"37",0
16,"37",0
17,"37",0
18,"37",0
19,"37",0
20,"37",0
21,"37",0
22,"37",0
23,"37",0
1,"38",300
2,"38",27
3,"38",9
4,"38",4
5,"38",1
6,"38",2
7,"38",1
8,"38",1
9,"38",0
10,"38",0
11,"38",1
12,"38",0
13,"38",0
14,"38",0
15,"38",0
16,"38",0
17,"38",0
18,"38",0
19,"38",0
20,"38",0
21,"38",0
22,"38",0
23,"38",0
1,"39",312
2,"39",30
3,"39",5
4,"39",3
5,"39",5
6,"39",0
7,"39",1
8,"39",0
9,"39",1
10,"39",0
11,"39",0
12,"39",0
13,"39",0
14,"39",0
15,"39",0
16,"39",0
17,"39",0
18,"39",0
19,"39",0
20,"39",0
21,"39",0
22,"39",0
23,"39",0
1,"40",322
2,"40",30
3,"40",7
4,"40",2
5,"40",2
6,"40",2
7,"40",1
8,"40",0
9,"40",0
10,"40",0
11,"40",0
12,"40",0
13,"40",0
14,"40",0
15,"40",0
16,"40",0
17,"40",0
18,"40",0
19,"40",0
20,"40",0
21,"40",0
22,"40",0
23,"40",0
1,"41",299
2,"41",33
3,"41",14
4,"41",3
5,"41",0
6,"41",1
7,"41",1
8,"41",1
9,"41",0
10,"41",0
11,"41",0
12,"41",0
13,"41",0
14,"41",0
15,"41",0
16,"41",0
17,"41",0
18,"41",0
19,"41",0
20,"41",0
21,"41",0
22,"41",0
23,"41",0
1,"42",286
2,"42",26
3,"42",10
4,"42",10
5,"42",0
6,"42",0
7,"42",2
8,"42",0
9,"42",2
10,"42",0
11,"42",0
12,"42",0
13,"42",0
14,"42",0
15,"42",0
16,"42",0
17,"42",0
18,"42",0
19,"42",0
20,"42",0
21,"42",0
22,"42",0
23,"42",0
1,"43",315
2,"43",30
3,"43",10
4,"43",2
5,"43",0
6,"43",1
7,"43",0
8,"43",0
9,"43",0
10,"43",1
11,"43",1
12,"43",0
13,"43",0
14,"43",0
15,"43",0
16,"43",0
17,"43",0
18,"43",0
19,"43",0
20,"43",0
21,"43",0
22,"43",0
23,"43",0
1,"44",307
2,"44",33
3,"44",9
4,"44",2
5,"44",0
6,"44",1
7,"44",1
8,"44",0
9,"44",1
10,"44",1
11,"44",0
12,"44",0
13,"44",0
14,"44",0
15,"44",0
16,"44",0
17,"44",0
18,"44",0
19,"44",0
20,"44",0
21,"44",0
22,"44",0
23,"44",0
1,"45",322
2,"45",28
3,"45",9
4,"45",1
5,"45",2
6,"45",0
7,"45",0
8,"45",0
9,"45",1
10,"45",0
11,"45",0
12,"45",1
13,"45",0
14,"45",0
15,"45",0
16,"45",0
17,"45",0
18,"45",0
19,"45",0
20,"45",0
21,"45",0
22,"45",0
23,"45",0
1,"46",311
2,"46",27
3,"46",6
4,"46",4
5,"46",4
6,"46",2
7,"46",0
8,"46",0
9,"46",1
10,"46",0
11,"46",0
12,"46",0
13,"46",0
14,"46",0
15,"46",0
16,"46",0
17,"46",0
18,"46",0
19,"46",0
20,"46",0
21,"46",0
22,"46",0
23,"46",0
1,"47",294
2,"47",27
3,"47",6
4,"47",8
5,"47",4
6,"47",1
7,"47",1
8,"47",0
9,"47",1
10,"47",0
11,"47",0
12,"47",0
13,"47",0
14,"47",0
15,"47",0
16,"47",0
17,"47",0
18,"47",0
19,"47",0
20,"47",0
21,"47",0
22,"47",0
23,"47",0
1,"48",316
2,"48",29
3,"48",7
4,"48",4
5,"48",2
6,"48",2
7,"48",1
8,"48",0
9,"48",0
10,"48",0
11,"48",0
12,"48",0
13,"48",0
14,"48",0
15,"48",0
16,"48",0
17,"48",0
18,"48",0
19,"48",0
20,"48",0
21,"48",0
22,"48",0
23,"48",0
1,"49",301
2,"49",25
3,"49",9
4,"49",6
5,"49",0
6,"49",1
7,"49",0
8,"49",0
9,"49",1
10,"49",1
11,"49",0
12,"49",0
13,"49",1
14,"49",0
15,"49",0
16,"49",0
17,"49",0
18,"49",0
19,"49",0
20,"49",0
21,"49",0
22,"49",0
23,"49",0
1,"50",311
2,"50",35
3,"50",6
4,"50",3
5,"50",3
6,"50",0
7,"50",0
8,"50",0
9,"50",0
10,"50",0
11,"50",0
12,"50",0
13,"50",0
14,"50",1
15,"50",0
16,"50",0
17,"50",0
18,"50",0
19,"50",0
20,"50",0
21,"50",0
22,"50",0
23,"50",0
1,"51",306
2,"51",43
3,"51",11
4,"51",2
5,"51",0
6,"51",0
7,"51",1
8,"51",0
9,"51",0
10,"51",0
11,"51",0
12,"51",0
13,"51",0
14,"51",0
15,"51",0
16,"51",0
17,"51",0
18,"51",0
19,"51",0
20,"51",0
21,"51",0
22,"51",0
23,"51",0
1,"52",301
2,"52",36
3,"52",2
4,"52",3
5,"52",8
6,"52",0
7,"52",0
8,"52",0
9,"52",1
10,"52",0
11,"52",0
12,"52",0
13,"52",0
14,"52",0
15,"52",0
16,"52",0
17,"52",0
18,"52",0
19,"52",0
20,"52",0
21,"52",0
22,"52",0
23,"52",0
1,"53",315
2,"53",34
3,"53",4
4,"53",3
5,"53",2
6,"53",0
7,"53",2
8,"53",0
9,"53",1
10,"53",0
11,"53",0
12,"53",0
13,"53",0
14,"53",0
15,"53",0
16,"53",0
17,"53",0
18,"53",0
19,"53",0
20,"53",0
21,"53",0
22,"53",0
23,"53",0
1,"54",314
2,"54",29
3,"54",8
4,"54",4
5,"54",0
6,"54",1
7,"54",2
8,"54",1
9,"54",0
10,"54",0
11,"54",0
12,"54",0
13,"54",0
14,"54",0
15,"54",0
16,"54",0
17,"54",0
18,"54",0
19,"54",0
20,"54",0
21,"54",0
22,"54",0
23,"54",0
1,"55",312
2,"55",41
3,"55",7
4,"55",2
5,"55",1
6,"55",2
7,"55",0
8,"55",0
9,"55",0
10,"55",0
11,"55",0
12,"55",0
13,"55",0
14,"55",0
15,"55",0
16,"55",0
17,"55",0
18,"55",0
19,"55",0
20,"55",0
21,"55",0
22,"55",0
23,"55",0
1,"56",315
2,"56",37
3,"56",5
4,"56",5
5,"56",1
6,"56",0
7,"56",0
8,"56",0
9,"56",0
10,"56",0
11,"56",1
12,"56",0
13,"56",0
14,"56",0
15,"56",0
16,"56",0
17,"56",0
18,"56",0
19,"56",0
20,"56",0
21,"56",0
22,"56",0
23,"56",0
1,"57",320
2,"57",33
3,"57",6
4,"57",3
5,"57",1
6,"57",2
7,"57",1
8,"57",0
9,"57",0
10,"57",0
11,"57",0
12,"57",0
13,"57",0
14,"57",0
15,"57",0
16,"57",0
17,"57",0
18,"57",0
19,"57",0
20,"57",0
21,"57",0
22,"57",0
23,"57",0
1,"58",296
2,"58",31
3,"58",9
4,"58",7
5,"58",1
6,"58",0
7,"58",2
8,"58",1
9,"58",0
10,"58",0
11,"58",0
12,"58",0
13,"58",0
14,"58",0
15,"58",0
16,"58",0
17,"58",0
18,"58",0
19,"58",0
20,"58",0
21,"58",0
22,"58",0
23,"58",0
1,"59",309
2,"59",37
3,"59",5
4,"59",4
5,"59",2
6,"59",1
7,"59",0
8,"59",0
9,"59",0
10,"59",1
11,"59",0
12,"59",0
13,"59",0
14,"59",0
15,"59",0
16,"59",0
17,"59",0
18,"59",0
19,"59",0
20,"59",0
21,"59",0
22,"59",0
23,"59",0
1,"60",305
2,"60",33
3,"60",7
4,"60",5
5,"60",2
6,"60",1
7,"60",0
8,"60",0
9,"60",0
10,"60",0
11,"60",0
12,"60",1
13,"60",0
14,"60",0
15,"60",0
16,"60",0
17,"60",0
18,"60",0
19,"60",0
20,"60",0
21,"60",0
22,"60",0
23,"60",0
1,"61",339
2,"61",26
3,"61",9
4,"61",1
5,"61",2
6,"61",0
7,"61",0
8,"61",1
9,"61",0
10,"61",0
11,"61",0
12,"61",0
13,"61",0
14,"61",0
15,"61",0
16,"61",0
17,"61",0
18,"61",0
19,"61",0
20,"61",0
21,"61",0
22,"61",0
23,"61",0
1,"62",320
2,"62",35
3,"62",8
4,"62",0
5,"62",1
6,"62",1
7,"62",1
8,"62",1
9,"62",0
10,"62",0
11,"62",0
12,"62",0
13,"62",0
14,"62",0
15,"62",0
16,"62",0
17,"62",0
18,"62",0
19,"62",0
20,"62",0
21,"62",0
22,"62",0
23,"62",0
1,"63",325
2,"63",27
3,"63",5
4,"63",3
5,"63",4
6,"63",1
7,"63",0
8,"63",1
9,"63",0
10,"63",0
11,"63",0
12,"63",0
13,"63",0
14,"63",0
15,"63",0
16,"63",0
17,"63",0
18,"63",0
19,"63",0
20,"63",0
21,"63",0
22,"63",0
23,"63",0
1,"64",327
2,"64",32
3,"64",6
4,"64",2
5,"64",2
6,"64",1
7,"64",1
8,"64",0
9,"64",0
10,"64",0
11,"64",0
12,"64",0
13,"64",0
14,"64",0
15,"64",0
16,"64",0
17,"64",0
18,"64",0
19,"64",0
20,"64",0
21,"64",0
22,"64",0
23,"64",0
1,"65",313
2,"65",29
3,"65",9
4,"65",4
5,"65",4
6,"65",1
7,"65",0
8,"65",0
9,"65",0
10,"65",0
11,"65",0
12,"65",0
13,"65",0
14,"65",0
15,"65",0
16,"65",0
17,"65",0
18,"65",0
19,"65",0
20,"65",0
21,"65",0
22,"65",0
23,"65",0
1,"66",330
2,"66",28
3,"66",4
4,"66",4
5,"66",1
6,"66",1
7,"66",1
8,"66",1
9,"66",0
10,"66",0
11,"66",0
12,"66",0
13,"66",0
14,"66",0
15,"66",0
16,"66",0
17,"66",0
18,"66",0
19,"66",0
20,"66",0
21,"66",0
22,"66",0
23,"66",0
1,"67",314
2,"67",28
3,"67",4
4,"67",5
5,"67",2
6,"67",1
7,"67",2
8,"67",1
9,"67",0
10,"67",0
11,"67",0
12,"67",0
13,"67",0
14,"67",0
15,"67",0
16,"67",0
17,"67",0
18,"67",0
19,"67",0
20,"67",0
21,"67",0
22,"67",0
23,"67",0
1,"68",310
2,"68",32
3,"68",12
4,"68",2
5,"68",1
6,"68",0
7,"68",1
8,"68",0
9,"68",0
10,"68",1
11,"68",0
12,"68",0
13,"68",0
14,"68",0
15,"68",0
16,"68",0
17,"68",0
18,"68",0
19,"68",0
20,"68",0
21,"68",0
22,"68",0
23,"68",0
1,"69",326
2,"69",22
3,"69",6
4,"69",3
5,"69",3
6,"69",1
7,"69",0
8,"69",0
9,"69",1
10,"69",1
11,"69",0
12,"69",0
13,"69",0
14,"69",0
15,"69",0
16,"69",0
17,"69",0
18,"69",0
19,"69",0
20,"69",0
21,"69",0
22,"69",0
23,"69",0
1,"70",316
2,"70",26
3,"70",12
4,"70",2
5,"70",1
6,"70",0
7,"70",1
8,"70",2
9,"70",0
10,"70",0
11,"70",0
12,"70",0
13,"70",0
14,"70",0
15,"70",0
16,"70",0
17,"70",0
18,"70",0
19,"70",0
20,"70",0
21,"70",0
22,"70",0
23,"70",0
1,"71",300
2,"71",34
3,"71",13
4,"71",5
5,"71",0
6,"71",1
7,"71",1
8,"71",0
9,"71",0
10,"71",0
11,"71",0
12,"71",0
13,"71",0
14,"71",0
15,"71",0
16,"71",0
17,"71",0
18,"71",0
19,"71",0
20,"71",0
21,"71",0
22,"71",0
23,"71",0
1,"72",316
2,"72",31
3,"72",4
4,"72",4
5,"72",3
6,"72",2
7,"72",1
8,"72",0
9,"72",0
10,"72",0
11,"72",0
12,"72",0
13,"72",0
14,"72",0
15,"72",0
16,"72",0
17,"72",0
18,"72",0
19,"72",0
20,"72",0
21,"72",0
22,"72",0
23,"72",0
1,"73",307
2,"73",30
3,"73",8
4,"73",2
5,"73",2
6,"73",1
7,"73",0
8,"73",2
9,"73",1
10,"73",0
11,"73",0
12,"73",0
13,"73",0
14,"73",0
15,"73",0
16,"73",0
17,"73",0
18,"73",0
19,"73",0
20,"73",0
21,"73",0
22,"73",0
23,"73",0
1,"74",335
2,"74",25
3,"74",7
4,"74",2
5,"74",2
6,"74",1
7,"74",0
8,"74",0
9,"74",0
10,"74",1
11,"74",0
12,"74",0
13,"74",0
14,"74",0
15,"74",0
16,"74",0
17,"74",0
18,"74",0
19,"74",0
20,"74",0
21,"74",0
22,"74",0
23,"74",0
1,"75",318
2,"75",26
3,"75",4
4,"75",5
5,"75",3
6,"75",1
7,"75",0
8,"75",1
9,"75",1
10,"75",0
11,"75",0
12,"75",0
13,"75",0
14,"75",0
15,"75",0
16,"75",0
17,"75",0
18,"75",0
19,"75",0
20,"75",0
21,"75",0
22,"75",0
23,"75",0
1,"76",305
2,"76",34
3,"76",6
4,"76",4
5,"76",0
6,"76",1
7,"76",0
8,"76",0
9,"76",0
10,"76",0
11,"76",1
12,"76",0
13,"76",0
14,"76",0
15,"76",0
16,"76",1
17,"76",0
18,"76",0
19,"76",0
20,"76",0
21,"76",0
22,"76",0
23,"76",0
1,"77",311
2,"77",25
3,"77",13
4,"77",0
5,"77",1
6,"77",2
7,"77",2
8,"77",0
9,"77",1
10,"77",0
11,"77",0
12,"77",0
13,"77",0
14,"77",0
15,"77",0
16,"77",0
17,"77",0
18,"77",0
19,"77",0
20,"77",0
21,"77",0
22,"77",0
23,"77",0
1,"78",294
2,"78",35
3,"78",6
4,"78",4
5,"78",1
6,"78",2
7,"78",2
8,"78",0
9,"78",0
10,"78",0
11,"78",1
12,"78",0
13,"78",0
14,"78",0
15,"78",0
16,"78",0
17,"78",0
18,"78",0
19,"78",0
20,"78",0
21,"78",0
22,"78",0
23,"78",0
1,"79",331
2,"79",27
3,"79",10
4,"79",1
5,"79",0
6,"79",1
7,"79",1
8,"79",1
9,"79",0
10,"79",0
11,"79",0
12,"79",0
13,"79",0
14,"79",0
15,"79",0
16,"79",0
17,"79",0
18,"79",0
19,"79",0
20,"79",0
21,"79",0
22,"79",0
23,"79",0
1,"80",315
2,"80",30
3,"80",8
4,"80",5
5,"80",3
6,"80",1
7,"80",0
8,"80",0
9,"80",0
10,"80",0
11,"80",0
12,"80",0
13,"80",0
14,"80",0
15,"80",0
16,"80",0
17,"80",0
18,"80",0
19,"80",0
20,"80",0
21,"80",0
22,"80",0
23,"80",0
1,"81",299
2,"81",32
3,"81",4
4,"81",7
5,"81",1
6,"81",4
7,"81",0
8,"81",1
9,"81",0
10,"81",0
11,"81",0
12,"81",0
13,"81",0
14,"81",0
15,"81",0
16,"81",0
17,"81",0
18,"81",0
19,"81",0
20,"81",0
21,"81",0
22,"81",0
23,"81",0
1,"82",302
2,"82",30
3,"82",11
4,"82",3
5,"82",2
6,"82",1
7,"82",0
8,"82",1
9,"82",1
10,"82",0
11,"82",0
12,"82",0
13,"82",0
14,"82",0
15,"82",0
16,"82",0
17,"82",0
18,"82",0
19,"82",0
20,"82",0
21,"82",0
22,"82",0
23,"82",0
1,"83",314
2,"83",24
3,"83",12
4,"83",6
5,"83",0
6,"83",0
7,"83",0
8,"83",0
9,"83",2
10,"83",0
11,"83",0
12,"83",0
13,"83",0
14,"83",0
15,"83",0
16,"83",0
17,"83",0
18,"83",0
19,"83",0
20,"83",0
21,"83",0
22,"83",0
23,"83",0
1,"84",311
2,"84",26
3,"84",8
4,"84",1
5,"84",3
6,"84",0
7,"84",0
8,"84",2
9,"84",2
10,"84",0
11,"84",0
12,"84",0
13,"84",0
14,"84",0
15,"84",0
16,"84",0
17,"84",0
18,"84",0
19,"84",0
20,"84",0
21,"84",0
22,"84",0
23,"84",0
1,"85",317
2,"85",26
3,"85",11
4,"85",3
5,"85",2
6,"85",1
7,"85",0
8,"85",0
9,"85",0
10,"85",1
11,"85",0
12,"85",0
13,"85",0
14,"85",0
15,"85",0
16,"85",0
17,"85",0
18,"85",0
19,"85",0
20,"85",0
21,"85",0
22,"85",0
23,"85",0
1,"86",322
